ranking,comment_time,usefule_num
,2017/2/11,2
5,2016/9/11,38
4,2016/12/2,1
5,2016/12/5,5
5,2016/12/2,4
4,2016/11/4,6
5,2016/12/2,5
5,2016/12/4,7
3,2016/9/14,5
3,2016/12/3,4
5,2016/12/10,2
5,2016/12/3,7
4,2016/12/9,7
3,2016/11/24,10
5,2016/12/3,13
5,2016/12/5,10
4,2016/12/5,3
,2016/12/3,6
4,2016/9/19,10
,2016/12/3,1
4,2016/12/4,1
4,2016/12/3,7
3,2016/12/13,5
4,2016/11/21,20
5,2016/9/3,16
4,2016/12/26,2
5,2016/10/17,5
5,2016/12/3,10
,2016/12/7,2
5,2016/12/2,8
4,2016/9/16,4
5,2016/12/3,2
2,2016/12/3,13
4,2016/10/16,10
5,2017/5/12,1
3,2016/12/5,10
5,2016/12/3,3
4,2016/9/8,2
4,2016/12/2,10
3,2016/12/9,5
3,2016/12/9,2
5,2016/11/21,7
1,2016/12/1,13
3,2016/11/21,10
5,2016/12/3,1
5,2016/12/6,5
5,2016/12/2,8
5,2016/12/9,3
5,2016/10/17,11
5,2016/12/4,20
3,2016/12/11,2
4,2016/12/6,3
3,2016/12/5,6
4,2016/10/11,13
1,2016/12/2,6
5,2016/9/25,5
4,2016/11/23,4
5,2016/12/3,9
2,2016/12/7,6
4,2016/12/2,5
5,2017/1/4,2
5,2016/9/20,11
5,2016/9/28,2
5,2017/1/15,2
4,2016/9/17,4
5,2016/12/6,5
4,2016/12/11,3
3,2016/12/11,1
5,2016/9/13,18
5,2016/10/10,3
5,2016/10/16,9
5,2016/11/5,3
4,2016/12/12,3
4,2016/9/22,6
3,2016/12/4,23
4,2016/12/10,2
4,2016/12/4,1
3,2016/9/20,4
5,2016/12/11,2
2,2016/12/3,3
5,2016/9/2,31
3,2016/9/18,4
5,2016/10/22,6
4,2016/12/2,3
3,2017/4/20,1
3,2016/9/27,5
3,2016/11/19,5
2,2016/12/3,10
5,2016/9/21,5
4,2016/12/4,1
5,2016/12/2,3
3,2016/12/6,4
3,2016/12/4,4
3,2016/9/17,6
5,2016/9/8,7
5,2016/10/28,8
,2016/9/16,11
3,2016/12/10,1
5,2016/12/10,5
4,2016/9/7,12
5,2016/12/5,4
5,2016/9/20,21
5,2016/12/2,8
4,2016/9/10,12
3,2016/10/4,4
4,2016/11/29,3
5,2016/12/4,8
4,2016/12/5,2
4,2016/12/3,4
5,2016/12/2,7
4,2016/12/6,5
5,2016/9/1,6
5,2016/12/2,11
5,2016/9/22,7
4,2016/12/4,3
3,2016/12/2,4
4,2016/12/3,5
5,2016/12/4,5
4,2016/12/2,3
4,2016/10/2,5
4,2016/11/8,2
2,2016/12/3,4
4,2016/9/18,3
5,2016/12/6,4
3,2016/12/4,7
5,2016/12/3,1
4,2016/12/4,5
4,2016/12/10,2
5,2016/12/11,1
4,2016/12/5,3
4,2016/12/5,3
4,2016/11/28,3
4,2016/12/2,6
5,2016/12/3,17
3,2016/12/5,2
4,2016/10/5,2
4,2016/11/3,6
5,2016/12/4,2
3,2017/7/27,1
4,2016/12/3,1
3,2016/10/27,12
5,2016/12/3,6
5,2016/12/4,2
4,2016/10/25,1
5,2016/9/15,8
3,2016/12/3,2
5,2016/12/28,2
5,2016/12/6,3
5,2016/12/2,4
5,2016/12/8,3
5,2016/9/24,5
4,2016/12/5,2
